variant_id,job_id,run_id,num_contexts,faithfulness,context_utilization
base_0010_female_minority_younger,software_developer,3,4,0.4,0.999999999975
base_0009_female_majority_younger,hr_coordinator,2,4,0.18,0.5833333333041666
base_0007_female_majority_older,project_manager,2,4,0.15384615384615385,0.9166666666361111
base_0005_male_majority_younger,marketing_specialist,1,4,0.3125,0.99999999995
base_0002_female_minority_younger,software_developer,3,4,0.2222222222222222,0.499999999975
base_0002_female_minority_younger,data_analyst,1,4,0.09090909090909091,0.3333333333
base_0007_male_majority_older,marketing_specialist,1,4,0.23809523809523808,0.999999999975
base_0009_male_majority_younger,marketing_specialist,1,4,0.18518518518518517,0.8055555555287036
base_0012_male_minority_older,project_manager,3,4,0.1875,0.999999999975
base_0011_male_majority_younger,project_manager,2,4,0.275,0.999999999975
base_0012_female_majority_younger,marketing_specialist,3,4,0.23529411764705882,0.9999999999666667
base_0008_female_majority_older,project_manager,2,4,0.1,0.999999999975
base_0001_female_majority_older,data_analyst,3,4,0.16279069767441862,0.999999999975
base_0008_female_majority_younger,software_developer,2,4,0.25,0.999999999975
base_0015_female_minority_younger,software_developer,1,4,0.13333333333333333,0.9999999999666667
base_0002_female_minority_younger,hr_coordinator,3,4,0.14285714285714285,0.999999999975
base_0014_female_minority_younger,project_manager,1,4,0.0967741935483871,0.999999999975
base_0012_female_majority_younger,software_developer,2,4,0.2,0.999999999975
base_0014_male_majority_older,project_manager,1,4,0.1935483870967742,0.999999999975
base_0013_female_minority_older,project_manager,3,4,0.2857142857142857,0.999999999975
base_0004_male_majority_younger,software_developer,2,4,0.4090909090909091,0.999999999975
base_0015_male_majority_younger,software_developer,1,4,0.32142857142857145,0.6388888888675925
base_0014_male_minority_older,hr_coordinator,1,4,0.12903225806451613,0.9166666666361111
base_0002_male_minority_younger,hr_coordinator,3,4,0.2826086956521739,0.999999999975
base_0013_male_minority_older,data_analyst,1,4,0.1875,0.9999999999666667
base_0002_male_minority_younger,data_analyst,2,4,0.2631578947368421,0.4166666666458333
base_0003_female_minority_older,data_analyst,2,4,0.24242424242424243,0.9166666666361111
base_0014_male_minority_younger,data_analyst,1,4,0.1724137931034483,0.8055555555287036
base_0010_male_minority_younger,hr_coordinator,3,4,0.23809523809523808,0.999999999975
base_0010_female_majority_younger,marketing_specialist,3,4,0.3870967741935484,0.999999999975
base_0014_male_majority_younger,hr_coordinator,3,4,0.125,0.6388888888675925
base_0003_male_minority_older,hr_coordinator,3,4,0.35714285714285715,0.999999999975
base_0012_female_minority_younger,software_developer,1,4,0.29411764705882354,0.6388888888675925
base_0004_female_majority_younger,project_manager,3,4,0.2702702702702703,0.999999999975
base_0008_male_majority_older,project_manager,1,4,0.15789473684210525,0.999999999975
base_0010_male_majority_younger,software_developer,3,4,0.29411764705882354,0.999999999975
base_0011_female_minority_younger,hr_coordinator,3,4,0.26666666666666666,0.9166666666361111
base_0001_male_minority_older,project_manager,2,4,0.17647058823529413,0.999999999975
base_0006_female_majority_older,marketing_specialist,3,4,0.16,0.999999999975
base_0002_female_majority_younger,data_analyst,2,4,0.21739130434782608,0.3333333333
base_0008_male_majority_older,software_developer,3,4,0.1,0.999999999975
